title,artist
Break My Soul,Beyonce
As It Was,Harry Styles
About Damn Time,Lizzo
Running Up That Hill (A Deal With God),Kate Bush
Staying Alive,DJ Khaled Featuring Drake & Lil Baby
Bad Habit,Steve Lacy
Wait For U,Future Featuring Drake & Tems
Sunroof,Nicky Youre & dazy
First Class,Jack Harlow
Bad Decisions,"benny blanco, BTS & Snoop Dogg"
Me Porto Bonito,Bad Bunny & Chencho Corleone
Late Night Talking,Harry Styles
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Heat Waves,Glass Animals
The Kind Of Love We Make,Luke Combs
Titi Me Pregunto,Bad Bunny
Wasted On You,Morgan Wallen
You Proof,Morgan Wallen
I Ain't Worried,OneRepublic
Stay,The Kid LAROI & Justin Bieber
Big Energy,Latto
She Had Me At Heads Carolina,Cole Swindell
Jimmy Cooks,Drake Featuring 21 Savage
Glimpse Of Us,Joji
Ghost,Justin Bieber
Moscow Mule,Bad Bunny
Numb Little Bug,Em Beihold
Like I Love Country Music,Kane Brown
Shivers,Ed Sheeran
5 Foot 9,Tyler Hubbard
Vegas,Doja Cat
In A Minute,Lil Baby
Get Into It (Yuh),Doja Cat
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Rock And A Hard Place,Bailey Zimmerman
Sticky,Drake
Umm Hmm,YoungBoy Never Broke Again
Fall In Love,Bailey Zimmerman
Last Night Lonely,Jon Pardi
Efecto,Bad Bunny
Provenza,Karol G
Something In The Orange,Zach Bryan
Alien Superstar,Beyonce
Super Gremlin,Kodak Black
Betty (Get Money),Yung Gravy
I Know,YoungBoy Never Broke Again
Home Ain't Home,YoungBoy Never Broke Again Featuring Rod Wave
Left And Right,Charlie Puth Featuring Jung Kook
F.N.F. (Let's Go),Hitkidd & GloRilla
Cuff It,Beyonce
Son Of A Sinner,Jelly Roll
Damn Strait,Scotty McCreery
Hot Shit,"Cardi B, Ye & Lil Durk"
Take My Name,Parmalee
Party,Bad Bunny & Rauw Alejandro
Numb,Marshmello & Khalid
Sleazy Flow,SleazyWorld Go Featuring Lil Baby
Ojitos Lindos,Bad Bunny & Bomba Estereo
So Good,Halsey
Despues de La Playa,Bad Bunny
New Truck,Dylan Scott
Vette Motors,YoungBoy Never Broke Again
Fuck Da Industry,YoungBoy Never Broke Again
Free Mind,Tems
Whiskey On You,Nate Smith
Victoriaâ€™s Secret,Jax
Church Girl,Beyonce
Free Dem 5's,YoungBoy Never Broke Again
Unstoppable,Sia
Bones,Imagine Dragons
Tarot,Bad Bunny & Jhay Cortez
Wishful Drinking,Ingrid Andress With Sam Hunt
Last Last,Burna Boy
Dah Dah DahDah,Nardo Wick
Lost Soul Survivor,YoungBoy Never Broke Again
With A Woman You Love,Justin Moore
Cooped Up,Post Malone Featuring Roddy Ricch
Truth About You,Mitchell Tenpenny
Energy,Beyonce Featuring BEAM
At The End Of A Bar,Chris Young With Mitchell Tenpenny
Pick Me Up,Gabby Barrett
She Likes It,Russell Dickerson & Jake Scott
Hold Your Own,YoungBoy Never Broke Again
Ghost Story,Carrie Underwood
Puffin On Zootiez,Future
Top Sound,YoungBoy Never Broke Again
Never Sleep,"NAV, Travis Scott & Lil Baby"
Kamikaze,YoungBoy Never Broke Again
Hotel Lobby (Unc And Phew),Quavo & Takeoff
My Time,YoungBoy Never Broke Again
Thought You Should Know,Morgan Wallen
I'm That Girl,Beyonce
Cozy,Beyonce
Un Ratito,Bad Bunny
La Corriente,Bad Bunny & Tony Dize
Big 14,"Trippie Redd, Moneybagg Yo & Offset"
Until I Found You,Stephen Sanchez
Despecha,Rosalia
Love Me More,Sam Smith
7 Days,YoungBoy Never Broke Again
